년도,월,난방도일
2008,1,19.6
2008,2,18.8
2008,3,10.3
2008,4,5.5
2008,5,3
2008,6,1.7
2008,7,
2008,8,0.4
2008,9,2.4
2008,10,4
2008,11,10.2
2008,12,16.8
2009,1,19.6
2009,2,14.9
2009,3,11.9
2009,4,5.7
2009,5,2
2009,6,
2009,7,
2009,8,
2009,9,
2009,10,2.9
2009,11,11
2009,12,18.9
2010,1,22.4
2010,2,16.4
2010,3,13.7
2010,4,8.3
2010,5,2.5
2010,6,0.3
2010,7,
2010,8,
2010,9,2.8
2010,10,4.2
2010,11,11.1
2010,12,19
2011,1,25
2011,2,16.3
2011,3,13.9
2011,4,6.8
2011,5,2.3
2011,6,0.8
2011,7,
2011,8,
2011,9,1.9
2011,10,4
2011,11,7.9
2011,12,18.6
2012,1,20.5
2012,2,19.5
2012,3,12.5
2012,4,6.6
2012,5,1.6
2012,6,
2012,7,
2012,8,
2012,9,1.3
2012,10,4.2
2012,11,12.4
2012,12,22
2013,1,21.1
2013,2,19.1
2013,3,12.3
2013,4,7.8
2013,5,3.2
2013,6,
2013,7,
2013,8,
2013,9,1.4
2013,10,4.5
2013,11,11.6
2013,12,18
2014,1,18.7
2014,2,15.6
2014,3,9.9
2014,4,4.5
2014,5,3.6
2014,6,
2014,7,
2014,8,
2014,9,
2014,10,3.5
2014,11,8.7
2014,12,20.6
2015,1,18.6
2015,2,16.5
2015,3,11.4
2015,4,5.5
2015,5,2.5
2015,6,
2015,7,
2015,8,
2015,9,
2015,10,3.9
2015,11,8.8
2015,12,16.1
2016,1,20.8
2016,2,17.5
2016,3,10.6
2016,4,4.1
2016,5,2.4
2016,6,
2016,7,
2016,8,0.7
2016,9,
2016,10,4
2016,11,10.8
2016,12,16.4
2017,1,19.4
2017,2,18
2017,3,11
2017,4,4.4
2017,5,2
2017,6,1.2
2017,7,
2017,8,
2017,9,2
2017,10,3.2
2017,11,12.1
2017,12,19.8
2018,1,21.6
2018,2,19.3
2018,3,9.4
2018,4,6
2018,5,2.8
2018,6,
2018,7,
2018,8,
2018,9,1.3
2018,10,5.1
2018,11,9.6
2018,12,17.8
